Unnamed: 0,textID,selected_text,text,sentiment,eqs,is_link
9,37bcad24ca,what did you get? my day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,what did you get?  my day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral,False,False
11,43b390b336,i checked. we didn`t win,i checked.  we didn`t win,neutral,False,False
37,3d2478db59,so i really need to put the laptop down & start getting ready for shindig...but i`ve missed my twitterloves all day,so i really need to put the laptop down & start getting ready for  shindig...but i`ve missed my twitterloves all day,neutral,False,False
43,ef7ef8e474,i`m only updating this so that brett`s phone beeps but really.. looking at wedding stuff. again.for the next five months.,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,neutral,False,False
46,67afe60d31,i miss my old phone it worked so good until i dropped it i want a new one for my birthday...,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,neutral,False,False
56,71f4a9b495,u so dirrrrrty... why oh why did i pick the hawks i figured i needed a longshot and they were a better bet than car,u so dirrrrrty... why oh why did i pick the hawks  i figured i needed a longshot and they were a better bet than car,neutral,False,False
58,77f88ea9e2,"reality needs to check in. schools over. time to party not tonight tho, im going to bed. night, night.","reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",neutral,False,False
61,2dbb28cc29,"_xo dang it, so its not certain ? ? ? are you okay?","_xo   dang it, so its not certain ? ? ? are you okay?",neutral,False,False
62,a7e4ad250a,change of plans. i am staying in brandon. no papaya salad for me.,change of plans. i am staying in brandon.  no papaya salad for me.,neutral,False,False
73,38e69da3a1,"oherr it`s soon then, do you have plans? i had a party on saturday x","oherr it`s soon then, do you have plans? i had a party on saturday  x",neutral,False,False
89,5ffb19ae8f,gnight shar <(` `<)vega(>` `)>,gnight shar   <(` `<)vega(>` `)>,neutral,False,False
93,2afe118dc3,i can`t call mitch! im from sweden!,i can`t call mitch!  im from sweden!,neutral,False,False
100,f9382a1f7b,"oooh, sunshine! a patch of sunshine! and it will be gone by the time i leave work and replaced with rain. /vent","oooh, sunshine! a patch of sunshine! and it will be gone by the time i leave work and replaced with rain.  /vent",neutral,False,False
107,c8307a482d,learning tat the scenic way din plan to go town but somehow was herded there?,learning tat the scenic way  din plan to go town but somehow was herded there?,neutral,False,False
122,4a65010643,riley hacked my twitter! hahaha :],riley hacked my twitter!  hahaha :],neutral,False,False
123,1b460c82f0,big sad face bing doesn`t work on iphone. it just takes you to the regular mobile live search.,big sad face   bing doesn`t work on iphone.  it just takes you to the regular mobile live search.,neutral,False,False
125,410dd99aa3,man im so sad school is ending but then again high school might be better :o,man im so sad school is ending  but then again high school might be better :o,neutral,False,False
133,c672c9da1d,voted for on cmt.com,voted for  on cmt.com,neutral,False,False
138,0d29624200,"i <3 rupert grint......& of the boy, ive accepted tht i do fancy him but im certain he doesnt feel the same so its not worth telling him","i <3 rupert grint......& of the boy, ive accepted tht i do fancy him  but im certain he doesnt feel the same so its not worth telling him",neutral,False,False
154,37771d1bc1,_celeste finally some sleep in silence,_celeste  finally some sleep in silence,neutral,False,False
155,fa99046452,im just up :-| and its 12:43 :o im so lazy thank god its a bank holiday,im just up :-| and its 12:43 :o  im so lazy thank god its a bank holiday,neutral,False,False
158,2053a455e9,yes! im down to 50% full on my dvr i was at 98% like 3 days ago... lol i swear if i didnt have a dvr i would never watch tv,yes! im down to 50% full on my dvr  i was at 98% like 3 days ago... lol i swear if i didnt have a dvr i would never watch tv,neutral,False,False
177,7c2fcb712e,**** lol....where u headed to?,****  lol....where u headed to?,neutral,False,False
183,9407ce6ccc,*sighs* ah well. maybe my second email will clear it up and get him approved.,*sighs* ah well.  maybe my second email will clear it up and get him approved.,neutral,False,False
184,820f19ca44,"missed all your tweets again joe, **** that time difference!!! (uk) dont 4get about your fave supporters in the uk!!! ****","missed all your tweets again joe, **** that time difference!!! (uk) dont 4get about your fave supporters in the uk!!!  ****",neutral,False,False
192,c87be630b5,yup theory is great but the reality is beyond imagination... i also made the same planning not knowing vs will fail on me,yup theory is great but the reality is beyond imagination...  i also made the same planning not knowing vs will fail on me,neutral,False,False
195,03bb148b87,"'i don`t like monday, i wish it were sunday, cause that`s my fun day.' that was my freaking jam when i was little. i miss it.","'i don`t like monday, i wish it were sunday, cause that`s my fun day.'  that was my freaking jam when i was little.   i miss it.",neutral,False,False
210,45cf9ba329,back from town and my mac crashed on me but it`s better now,back from town and my mac crashed on me  but it`s better now,neutral,False,False
224,be33b5cb9a,again working on the internet shop ... don`t think we will achieve the goal of uploading by the previously set time will keep going,again working on the internet shop ... don`t think we will achieve the goal of uploading by the previously set time   will keep going,neutral,False,False
246,b9ec075666,bought three books!! yipee!! now who`s with me on that read-ten-books-during-the-summer thing?,bought three books!! yipee!!  now who`s with me on that read-ten-books-during-the-summer thing?,neutral,False,False
252,0b1fad03e9,"i know dude, i`m doing re-runs, making jenny watch them now too so we can have conversations lol. haven`t been online much","i know dude, i`m doing re-runs, making jenny watch them now too so we can have conversations lol.  haven`t been online much",neutral,False,False
253,2c72a5582a,what about me ?? i vote every day for you !!!!!,what about me ??  i vote every day for you !!!!!,neutral,False,False
255,1e0416ec46,"just rocked home from maccas, and now signing a petition for big bang to tour aus lol","just rocked home from maccas, and now signing a petition for big bang to tour aus  lol",neutral,False,False
261,5f80970983,yay doctors now interview then back 2 the doctor`s for blood work,yay doctors  now interview then back 2 the doctor`s for blood work,neutral,False,False
280,0f93ebfb23,"lol, get watching it again hehe","lol, get watching it again  hehe",neutral,False,False
300,8f0bafc9dc,"in effect, your podcast is the audio version of your book. isn`****? (plus, it has the added charm of banter )","in effect, your podcast is the audio version of your book. isn`****? (plus, it has the added charm of banter  )",neutral,False,False
302,04d3c2d056,browsing find everything about university & interior design.,browsing  find everything about university & interior design.,neutral,False,False
303,8bbaca6e4b,i have not tweeted for sixteen days! i miss it =( i`ve been having fun though! =d ingrid on mon was frakking awesome bbq today!,i have not tweeted for sixteen days! i miss it =( i`ve been having fun though! =d ingrid on mon was frakking awesome  bbq today!,neutral,False,False
304,4a9529e753,visit si fr joemar dito bataan (frm camiguin) & sum of my ofcmates& i are supposed to meet him this saturday can`t luwas,visit si fr joemar dito bataan (frm camiguin) & sum of my ofcmates& i are supposed to meet him this saturday  can`t luwas,neutral,False,False
312,426cb788e5,gonna go and see my sister at mount sinai .... she`s there for at least another 24 hours.,gonna go and see my sister at mount sinai ....  she`s there for at least another 24 hours.,neutral,False,False
323,5aa8a5280f,i knooww & my hot water bottle iss in whangamata without me. ahhhhh,i knooww  & my hot water bottle iss in whangamata without me. ahhhhh,neutral,False,False
337,5999397144,undervote is just going on i`m all overalled up,undervote is just going on  i`m all overalled up,neutral,False,False
364,97cd2255be,hi ho hi ho it`s off to work we go,hi ho  hi ho it`s off to work we go,neutral,False,False
383,2cbc372326,so now we`ll pay more in sales tax...great. even worse mom and pop businesses have to double what they pay in business licenses.,so now we`ll pay more in sales tax...great.  even worse mom and pop businesses have to double what they pay in business licenses.,neutral,False,False
393,109b636fa5,i thought was against licensing stores bc it takes away from the experience they want to provide,i thought  was against licensing stores bc it takes away from the experience they want to provide,neutral,False,False
394,cc29d748cb,_a_michael it doesn`t look like you`re tired in the pic. don`t work too hard.,_a_michael it doesn`t look like you`re tired in the pic.  don`t work too hard.,neutral,False,False
399,8a1bf14c15,"well i will be making beds, creating noise & cleaning cleaning all day long. with music & a smile x","well i will be making beds, creating noise & cleaning cleaning all day long.  with music & a smile  x",neutral,False,False
418,47f11efc72,this creepy guy when i was walking the dog i`ve had my fill of creepers for the day,this creepy guy when i was walking the dog  i`ve had my fill of creepers for the day,neutral,False,False
427,0fe049b7ea,someone out there will soon be the lucky recipient of my 5000th tweet. oh wait. ****. this was it!,someone out there will soon  be the lucky recipient of my 5000th tweet. oh wait. ****. this was it!,neutral,False,False
437,d17a3a37e1,"kelly kelly pays your bills @ 12:15, kaden pays em @ 5:15 and just wants you to follow him. lol he dosent get to pay bills","kelly kelly pays your bills @ 12:15, kaden pays em @ 5:15 and  just wants you to follow him. lol he dosent get to pay bills",neutral,False,False
449,c6d6fbb9a6,hello again how`d ur saturday go?,hello again  how`d ur saturday go?,neutral,False,False
455,dd3cd66574,going to bed after the cavs game don`t judge me lol,going to bed after the cavs game  don`t judge me lol,neutral,False,False
498,fc0b053a31,i can`t belive you only have one episode to go ****,i can`t belive you only have one episode to go  ****,neutral,False,False
499,9f2a0b0b2f,you can also watch family guy online. www.fancast.com and yes i am a total shill.,you can also watch family guy online. www.fancast.com  and yes i am a total shill.,neutral,False,False
501,2492330594,not excited for 32 people reservation in the morning **** lovin halo3 right now for sure too,not excited for 32 people reservation in the morning  **** lovin halo3 right now for sure too,neutral,False,False
516,d50a4dc3bf,bird poo update... managed to clean it all off but some slight stainage remains any tips?,bird poo update... managed to clean it all off but some slight stainage remains  any tips?,neutral,False,False
539,9a27ba671e,you should see our floors before you make that offer. let me know if you don`t receive a call soon.,you should see our floors before you make that offer.  let me know if you don`t receive a call soon.,neutral,False,False
550,c6322a85c2,_layne hmm.. what`s ur fav movie?? tv shows??,_layne  hmm.. what`s ur fav movie?? tv shows??,neutral,False,False
555,06ae0360a2,"sadly no, i`ll be going to the killumbus show. i really want to but no one wants to drive me there","_walker21 sadly no, i`ll be going to the killumbus show. i really want to but no one wants to drive me there",neutral,False,False
562,92c4eadecf,just got in a fight and kicked out of the bar. at least i knocked him out. have a fat lip though. pulled another number,just got in a fight and kicked out of the bar. at least i knocked him out. have a fat lip though.  pulled another number,neutral,False,False
564,1b5dea3fe9,"early bird gets the worm. and in my case, birder gets to witness the carnage.","early bird gets the worm.  and in my case, birder gets to witness the carnage.",neutral,False,False
580,303a1773cf,every day of my life lately. i feel ya girl <3,every day of my life lately.    i feel ya girl <3,neutral,False,False
586,a7506a67a4,_witty yes france/belgium was good carnt belive how much traffic we hit on the way back,_witty  yes france/belgium was good  carnt belive how much traffic we hit on the way back,neutral,False,False
601,5a2393940b,i need a bear hug and im going to camp today!!,i need a bear hug  and im going to camp today!!,neutral,False,False
620,ef60a2d1e7,"and clang rocks, so you`re using it, right? anyways, according to the comments it`s in apple`s gcc too, dunno how public tho","and clang rocks, so you`re using it, right?  anyways, according to the comments it`s in apple`s gcc too, dunno how public tho",neutral,False,False
627,86f3b2e352,whole body is sore from moving hundreds of pieces of luggage last weekend. guess i should visit the gym more often,whole body is sore from moving hundreds of pieces of luggage last weekend.   guess i should visit the gym more often,neutral,False,False
630,faaf6a6f64,i don`t even look at their fabric unless i need polar fleece. it`s worth the extra $ to go to needle and thread.,i don`t even look at their fabric unless i need polar fleece.   it`s worth the extra $ to go to needle and thread.,neutral,False,False
634,e0090fba83,watching the jobros live chat .. not live though haha.,watching the jobros live chat .. not live though  haha.,neutral,False,False
638,57ee48d640,the honesty`s to much........... sorry couldn`t resist;),the honesty`s to much...........  sorry couldn`t resist;),neutral,False,False
647,9fdac069e1,no phone i knew i should`ve charged it last night. sigh,no phone  i knew i should`ve charged it last night. sigh,neutral,False,False
666,c860b3f840,i hope that everyone has been having a great week. let me know if you think im crazy for hating coffee xd.,i hope that everyone has been having a great week.  let me know if you think im crazy for hating coffee xd.,neutral,False,False
668,935a3c2bf5,time to put the weapons on the charger for the night. sleep tight,time to put the weapons on the charger for the night.  sleep tight,neutral,False,False
672,10f2498c35,i want crimson gem saga. i will just go play rf guerilla demo repeatedly. i (mission failed - you died) so many times from dicking around,i want crimson gem saga.  i will just go play rf guerilla demo repeatedly. i (mission failed - you died) so many times from dicking around,neutral,False,False
674,4c086d6a58,will b having my last v tomorow will have2live off of apples n not caffeine ;( n have2cut down on chocolate bye bye chocy,will b having my last v tomorow   will have2live off of apples n not caffeine ;( n have2cut down on chocolate bye bye chocy,neutral,False,False
675,d6a8cee69b,i was awoken by loud banging and it continues all day good thing i got an early rest last night!,i was awoken by loud banging and it continues all day  good thing i got an early rest last night!,neutral,False,False
683,0e83e0955a,rt i have had few hearts the past few days on etsy boo hoo....totally the same for me too ((((((,rt i have had few hearts the past few days on etsy  boo hoo....totally the same for me too ((((((,neutral,False,False
707,0927b99040,actually workin from home tonight... you?,actually workin from home tonight...  you?,neutral,False,False
722,8ec2997024,your test works fine for me tweetdeck is so cool eh?,your test works fine for me  tweetdeck is so cool eh?,neutral,False,False
