textID,text,selected_text,sentiment
4f5267ad70,"thats it, its the end. tears for fears vs eric prydz, dj hero http://bit.ly/2hpbg4","thats it, its the end. tears for fears",neutral
6086b1f016,will be back later. http://plurk.com/p/rp3k7,will be back later.,neutral
0c0563423e,miles from you i`m in essex so give me plenty of warning so i can arrive in time to get at least one of those free beers.,miles from you i`m in essex so give me plenty of warning so i can arrive in time to get at least one of those free beers,neutral
a3de81e1ba,hi how are you doing ??? *just joined twitter...*,hi how are you doing ??? *just joined twitter...,neutral
9c4817f73b,if u have a friendster add me!!!!!!!!! my email adress add me loco_crime_1st.com add me leave some comment,if u have a friendster add me!!!!!!!!! my email adress add me loco_crime_1st.com add me,neutral
32e4ffe225,_420 why baby?,why baby?,neutral
931a866d3f,"had nicotine replacement patch on for 4 hours. so far, so good, but i did sleep for most of those 4 hours. getting a bit twitchy now","so far, so good, but i did sleep for most of those 4 hours. getting a bit twitchy now",neutral
7a718b23ef,_sanderson what`s with twatter lately? either i can`t get on or the replies don`t turn up!,what`s with twatter lately? either i can`t get on or the replies don`t turn up!,neutral
e70d294d95,@_ra_ra_ your not alone...i need coffee too.,your not alone...i need coffee too.,neutral
77ba0fee75,#powerblog what is this powerblog challenge you keep talking about? i`m a newbie follower,g what is this powerblog challenge you keep talking about? i`m a newbie followe,neutral
2dd0cddb70,i want it back now!: http://bit.ly/pp1wz,i want it back now!:,neutral
d2af698d65,home empty handed. no comics found today. i shall now indulge in my cupcakes from magnolia bakery.,home empty handed. no comics found today. i shall now indulge in my cupcakes from magnolia bakery,neutral
58eda20efc,lmao... smh! that one threw me off.,lmao... smh! that one threw me off,neutral
b8e58e1a21,"is hungry, twitter. i want food. </3","is hungry, twitter. i want food.",neutral
b751f39570,"yea, i should know.. but tell me everything! ps: send me direct messages telling.. haha","yea, i should know.. but tell me everything! ps: send me direct messages telling.. ha",neutral
3848e03ac5,u really don`t think so? maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u,u really don`t think so? maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for,neutral
ef200df027,the little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww http://twitpic.com/67aim,the little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form,neutral
41f4eb92b9,[-o] i wish the birthday massacre would come to australia i think they said they`re thinking about it tho.. http://tinyurl.com/p6lfch,i wish the birthday massacre would come to australia i think they said they`re thinking about it tho.,neutral
5459ddc56e,_dec0de i finally just have 1 hour of history... at 3.00 pm! but i went to my highschool at 8.00 am to make some homework with a friend,i finally just have 1 hour of history... at 3.00 pm! but i went to my highschool at 8.00 am to make some homework with a friend,neutral
faaf5f743d,_marie wish i could make it too!!! i hate my commute sometimes,wish i could make it too!!! i hate my commute sometimes,neutral
cdcaac066e,"_terrible haha, that was new the fact that he couldn`t do it should have cost his part. what kind of spock is that!",he couldn`t do it should have cost his part.,neutral
c628741a80,thank you i`ve had anxiety issues for years so i think if i can make it through the first couple of days then i will be fine.,thank you i`ve had anxiety issues,neutral
1fce3e2d7b,no bueno. hollykins needs to feel better asap. p.s. i miss you. you done with uni soon aren`t you? soproudofyou.,no bueno. hollykins needs to feel better asap. p.s. i miss you. you done with uni soon aren`t you? soproudofyo,neutral
b8fbbf1936,edge left me off the contributors list in this month`s issue. x ffs. <- werd,edge left me off the contributors list in this month`s issue.,neutral
b04bbb81c9,hi to one kiwi artist from another kiwi artist,hi to one kiwi artist from another kiwi artis,neutral
289317384e,oooo ok why havent you accepted my friends request,oooo ok why havent you accepted my friends reque,neutral
5bae99f344,"didn`t get bitten by a rabies infested person last night yay for me! gonna scare rachel with quarantine tonight, this shall be fun","! gonna scare rachel with quarantine tonight, this shall be fun",neutral
2f6d9d1419,#stackeoverflow http://bit.ly/13nfk1,#stackeoverflow,neutral
babf4b1bda,and the creative vado`s are out of stock at walmart.com (missed it) but thanks for tweeting about it,and the creative vado`s are out of stock at walmart.com (missed it) but thanks for tweeting about,neutral
13a9406926,flew brisbane - lax today. great flight. love the lights. shame about one drink limit though!,flew brisbane - lax today. great flight. love the lights. shame about one drink limit thoug,neutral
dd2a3bd5b8,i am on here..finally. and yay. seriously. that made my day oh fellow hell ruler,am on here..finally. and yay. seriously. that made my day oh fellow hell ruler,neutral
9db3cb33a2,_1 yeah we only went for 5 days im trying to get back in november with my mom for super soak stars weekend,yeah we only went for 5 days im trying to get back in november with my mom for super soak stars weekend,neutral
6015ac6085,250e!!! crazzyyyy ! but just this summer !!! cuz ci are very close to rd! :s,250e!!! crazzyyyy ! but just this summer !!! cuz ci are very close to rd!,neutral
6970c09cfc,"_richie i also saw u on american idol great performance, i see u will be at windsor in june 20 commodores won`t be there","i also saw u on american idol great performance, i see u will be at windsor in june 20 commodores won`t be there",neutral
3521fb0d31,as long as you have someone to make out with lol,as long as you have someone to make out with,neutral
ec38c9863d,_gd whoaa kinda hard :o that one that you think will be interesting enough to tell,whoaa kinda hard :o that one that you think will be interesting enough to tell,neutral
ed5a6ba312,my mom just texted me and told me that rodney was chasing fireflies in their backyard. awwwww i`m miss him http://twitpic.com/66pn1,my mom just texted me and told me that rodney was chasing fireflies in their backyard. awwwww i`m miss,neutral
6c2e853e4c,??????? #bash ?? ??????? ????????? ????,#bash,neutral
b57188597f,hhahaa! its well strange just woke up to an empty house ahah lolllllyyyyyyyy<3 love that dog,hhahaa! its well strange just woke up to an empty house ahah lolllllyyyyyyyy<3 love that,neutral
10ed94f7b0,_s make me tea pleaseeeeeeeeeee,make me tea pleaseeeeeeeeeee,neutral
d632d916e1,"omnomnom just came online to 69 unread emails, as well as my backlog from yesterday http://tinyurl.com/lxjdjc","omnomnom just came online to 69 unread emails, as well as my backlog from yesterday http://tinyurl.com/lxjd",neutral
